Thu nh?p ,C? ??nh,Nhu c?u,Giáo d?c,Thanh toán n?,Ti?t ki?m,B?n thân,a,b,c,d,e,f
7550000,3180000,0,1,0,1,0,0.44119205,0.39654965,0.02172527,0.12934956,0,0.01118347
7350000,2410000,0,1,0,0,1,0.34789116,0.11142825,0.38431147,0.12725029,0,0.02911883
7750000,2400000,0,0,0,1,0,0.32967742,0.33503878,0.13759292,0.10654045,0,0.09115043
7250000,3420000,0,1,0,1,0,0.49172414,0.33412494,0.02497215,0.09884593,0,0.05033284
9000000,2340000,0,1,0,1,0,0.28,0.34363741,0.14946403,0.12730536,0,0.0995932
6950000,2220000,0,1,0,1,0,0.33942446,0.29784159,0.14245229,0.12382747,0,0.09645419
6400000,2670000,0,1,0,1,0,0.4371875,0.27004949,0.11913402,0.10417132,0,0.06945767
7550000,2790000,0,1,0,1,0,0.38953642,0.36074,0.04931048,0.1359158,0,0.0644973
9150000,4210000,0,1,0,1,0,0.48010929,0.32405211,0.05994635,0.07768437,0,0.05820788
8650000,3080000,0,1,0,1,0,0.37606936,0.34366428,0.03639454,0.14464546,0,0.09922636
9750000,2540000,0,0,0,1,1,0.28051282,0.32454452,0.26246317,0.1212712,0,0.01120829
9400000,3970000,0,1,0,1,0,0.44234043,0.36683398,0.08558691,0.0370856,0,0.06815308
7150000,2090000,0,0,0,1,1,0.31230769,0.16467425,0.10197636,0.39277085,0,0.02827085
8400000,3860000,0,1,0,1,1,0.47952381,0.11721216,0.21924615,0.11217488,0,0.071843
9500000,2410000,0,1,0,1,1,0.27368421,0.11118468,0.3530472,0.16326991,0,0.098814
9350000,2060000,0,0,0,0,1,0.24032086,0.11607917,0.37727128,0.17783494,0,0.08849375
9750000,2700000,0,1,0,0,1,0.29692308,0.11686286,0.27106477,0.28467997,0,0.03046932
8300000,3370000,0,1,0,1,0,0.4260241,0.36846057,0.00819675,0.11604066,0,0.08127792
6200000,2270000,0,1,0,1,0,0.38612903,0.37662872,0.13630865,0.04237862,0,0.05855498
8600000,3140000,0,1,0,1,0,0.38511628,0.33439943,0.14054934,0.07798362,0,0.06195133
6550000,3120000,0,1,0,0,1,0.49633588,0.13790348,0.12988345,0.23390507,0,0.00197212
8950000,3540000,0,0,0,1,1,0.41553073,0.15319527,0.22783015,0.10841677,0,0.09502708
9550000,4420000,0,0,0,1,0,0.48282723,0.21465457,0.07551367,0.12749566,0,0.09950887
9100000,3940000,0,0,0,1,0,0.45296703,0.31499913,0.14347144,0.01780584,0,0.07075656
10000000,4020000,0,1,0,1,0,0.422,0.33504499,0.05132113,0.14416228,0,0.0474716
5400000,2010000,0,1,0,1,1,0.39222222,0.20250571,0.23284515,0.11330668,0,0.05912024
8000000,2210000,0,0,0,1,1,0.29625,0.30404005,0.18368798,0.19348853,0,0.02253344
8500000,2320000,0,1,0,1,1,0.29294118,0.23599281,0.17430342,0.29365298,0,0.00310961
9600000,2810000,0,0,0,1,1,0.31270833,0.2204771,0.22840273,0.22761735,0,0.01079449
9700000,4470000,0,0,0,1,1,0.48082474,0.1975088,0.11986745,0.15491408,0,0.04688493
8050000,2550000,0,1,0,0,1,0.33677019,0.1197575,0.17080793,0.27755529,0,0.09510909
9650000,4290000,0,0,0,1,0,0.46455959,0.34910839,0.11342193,0.0440967,0,0.02881339
9400000,4000000,0,1,0,1,0,0.44553191,0.28171781,0.08261444,0.14139574,0,0.0487401
6150000,2360000,0,0,0,1,0,0.40373984,0.26388705,0.12586261,0.12306266,0,0.08344784
8100000,2660000,0,1,0,1,1,0.34839506,0.15510429,0.10569783,0.29879194,0,0.09201088
